id,name,category,quantity,packageSize,packageUnit
"001497ab-e437-4c74-85a8-4d26a863c331","All Whole Grain 100% Whole Wheat Bread","bread","","",""
"00a898c3-49a9-4c05-8158-2cb1a460aa6e","Ferrero Rocher","snacks","","",""
"01f3c5c4-28ac-42d2-852e-d08b9b6128e7","El Mago, Arroz Grano Mediano","grains","","",""
"022fa616-6a29-43dd-91f0-ac1f2d30b9f3","Instant oatmeal, apple & cinnamon","grains","1","",""
"023277a4-b1c4-48b5-9102-e3ed8f7f68b7","Squeezr sorrel ginger","beverages","","",""
"034965b4-7c77-4d5f-9667-0d82356228f0","Strawberries And Cream White Chocolate","snacks","","",""
"0467d577-6539-41fa-8486-987b960817ad","Diet black cherry soda","beverages","8 oz","226.796","g"
"0771a1d8-800c-4ab6-8407-54154fc5fec7","Honey nut sweetened whole grain oat cereal with","breakfast","1 LB 5.6 OZ (21.6 OZ) (612g)","453.592","g"
"07c37ba5-dbb6-47db-8fd7-d68cd99d2d3b","Larabar Cherry Chocolate Chip Fruit & Nut Bites","grains","","",""
"096d57a8-9feb-41a4-ab1b-620ef71bc573","Grade A Ultra-Pasteurized Homogenized Half & Half","dairy","","",""
"09eec1e0-98f8-4483-9e60-87fb2838119d","Simple truth, diced tomatoes in tomato juice","vegetables","","",""
"0a76e2f7-5f1c-41dc-8410-d0e0c8331f53","Coconut Cream Pie","grains","","",""
"0b464803-0e32-485c-ace0-53184550156e","coke zero","beverages","","",""
"0b7079ab-9d9d-45d1-af81-18bf43b89793","Organic Harvest Berry Chewy Granola Bar","grains","1","",""
"0b98096b-ee79-4d31-93eb-efdb56ce2379","Enriched Macaroni Product","pasta","","",""
"0cda76fb-e862-4f47-8d5a-7fee10b887f3","Kroger, fresh selections, leafy romaine, romaine lettuce & leaf lettuces","vegetables","","",""
"0db76bc9-dc4e-45c4-b9b5-a68f11b23d8f","Belgian White Chocolate Chunk Cookies (Reduced Fat)","snacks","","",""
"0dd54882-b27a-4e9e-8158-b91633507763","Potato chips","snacks","","",""
"0ebbc6f9-4ccd-4a18-a437-d7eaf0a762e8","Orange pineapple juice","beverages","","",""
"0f068e74-aa93-425b-84ca-21cf330d9bf1","Diet iced tea","beverages","","",""
"0f3c0344-cf95-4ba0-9785-0e30c3fe9810","Véritable Andouille de Guémené","meat","","",""
"0f4b9fa2-3f02-49a2-8137-741bb35e22fd","Sliced white bread","bread","","",""
"107497ae-12ed-43c0-9c3d-10648cbceb5c","Fresh Hard Cooked Peeled Eggs","eggs","","",""
"1093c150-2c6f-4ddb-a5db-314ba64317be","Natural Large Brown Eggs","eggs","50 g","50","g"
"10dd7a5f-2fb7-47b2-a046-8b4e0037288f","Holiday gift box pralines","snacks","","",""
"1153d242-4f0b-481a-8872-18bdecabe5e1","Sweet & smoky mini fillets","meat","","",""
"11682915-b7eb-4a18-8df8-e1c30f608ebe","Protein smoothie","beverages","","",""
"117f297d-5b6a-4c6e-a89e-b5f327c36802","Granola","grains","","",""
"1185da40-28de-4abe-a972-7a5006df8860","Coco Pure Coconut Water","beverages","","",""
"1225321c-4121-45b3-a3b3-69948390afc2","Reduced Fat Milk","dairy","","",""
"127055fc-4c56-4865-b25c-c601e89e4bc5","Imitation Crab Meat","fish","","",""
"128b6ebc-df9c-4f9e-b2a4-f6b030686624","Break & Bake Style Cookie Dough Cookies","grains","","",""
"1323b684-6452-4cbe-bd6d-ca25dda49f83","Whole grain wheat bread flaxseed","bread","","",""
"13d9aa19-a0d1-4d5e-a31a-547836e4c483","Whole Grain Honey Wheat Bread","bread","1","",""
"1589d915-bf03-43d1-8c32-b878534fccdd","Hot Dog Buns","bread","","",""
"16741b78-4554-4adf-9fca-65d703878200","Spicy vegetable juice","beverages","","",""
"1704c396-f2a5-4c9f-98d8-ad84c9044e06","Butterball, thick sliced white turkey, honey roasted","meat","","",""
"1716baa5-6fcc-4ce7-b8d2-b2ebbceb1f73","Assorted chocolate truffles","snacks","","",""
"18d04bb5-2d9b-4612-96b2-87633e493703","High Fibre Fusilloni","pasta","","",""
"19a4ff4c-9af1-4bfb-9530-7ee3d8547a13","Non-Dairy Coffee Creamer","dairy-alternatives","","",""
"1a227f5b-b320-4249-a476-2b76dcf32793","Real Coconut Water With Aloe Vera","beverages","","",""
"1b8d85ad-d6e6-4996-8c6f-895f773e4e61","Cheerios","breakfast","","",""
"1bd2b09d-7904-4132-bdae-f259b86e6dd9","Baked beans","legumes","","",""
"1c24f8f1-2da4-49d9-a32e-13a9a5b2fedd","Coffee Creamer","dairy-alternatives","","",""
"1c5bbe11-83b0-430d-a921-f31feece9db3","Fitness Enhanced Drink Mix, Wildberry","beverages","","",""
"1e0ff8b6-8629-46d1-beef-cd28ecea36e1","Young Coconut Meat In Syrup","fruit","180ml","180","ml"
"1f31182e-d0c9-441c-87ed-eecf1082c18c","French - Style Cultured Cream, Vanilla","dairy","","",""
"1fe9504d-e42f-41ed-b841-333d168c96c7","Low-Moisture Part-Skim Mozzarella String Cheese","dairy","12","",""
"205ecc6c-a49b-42e1-a078-202d98346bea","White Seed Topped Rolls","bread","","",""
"20ca27ee-f532-4660-9f8e-a86758020a67","Flocon d'avoine - complète","breakfast","","",""
"21690201-7140-4669-9983-38fb14ee2f22","7 Whole Grain Puffs","grains","","",""
"234057df-407e-406e-87df-01d6027da07e","Sugar free non-dairy french vanilla coffee creamer","dairy-alternatives","","",""
"23afba7c-4cbc-4fd1-b9cc-994b1ace9f96","Myrtilles","fruit","","",""
"242a3e9e-2355-485a-b3f6-ec02bdc005eb","Coffee creamer","dairy-alternatives","","",""
"24a758c3-24ca-4c7d-8865-cb127219b2cb","Mediterranean crusted salmon fillets","fish","","",""
"24b5a1fd-18f2-4eb1-bcf6-0cc3b0a782f1","Lowfat Cottage Cheese, Pineapple","dairy","","",""
"2538c44f-40fa-4aa8-89ea-6408950cf92c","Vita malt","beverages","","",""
"2669a4fc-6bc3-43a6-82a1-f90921bd207b","Soymilk","dairy-alternatives","","",""
"26fa13a2-ede4-4543-bd26-54b145dd11a9","Ferrero rocher, fine hazelnut chocolates","snacks","12","",""
"287b04ec-41f3-4915-b07a-4f15b32e5a13","Cookies pépites chocolat et noisette","snacks","","",""
"28a49ffb-b786-4237-921f-1519068daacb","Homestyle noodles","pasta","","",""
